index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1229,1301,81556,4857,4957,3850,3585,3361,5536,6904,6013,4738,2378,1117,41,12,1,3,0,1,5
1230,3416,134737,10492,10509,5725,6568,4747,6454,9580,8606,5648,2865,845,5,25,1,2,1,1,5
1231,1624,27982,11057,10574,2444,3463,3571,3854,6085,7576,6483,4158,1991,167,9,2,5,1,1,9
1232,911,58757,21110,20023,4451,6441,6574,6979,11219,14241,12846,8166,4188,288,15,2,4,0,1,7
1233,1501,60497,1919,1928,564,626,920,932,1235,1338,1027,649,331,11,7,1,0,0,0,1
1234,4998,260846,41726,39463,14250,18305,24250,23017,27746,28393,17555,6902,2687,422,8,1,2,0,0,3
1235,1049,30369,939,910,304,349,361,529,673,566,651,294,115,5,11,1,0,0,0,1
1236,1231,60644,3344,3376,886,1483,948,1031,1999,2297,2132,1038,824,149,3,1,0,0,0,1
1237,7037,240132,27322,27001,6588,9132,9488,10521,16171,19918,17476,10397,5747,459,4,2,1,2,0,5
1238,4823,134519,12493,12327,5125,5770,5861,6958,8562,7991,4878,1891,602,69,2,2,2,2,1,7
1239,728,51735,60475,58363,18070,24593,25367,27991,38042,41784,33524,17475,7882,570,16,2,4,2,3,11
1240,1025,71780,35809,34267,13530,15082,18408,20359,24918,23346,14398,5874,2511,438,7,2,3,2,3,10
