index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
652,오산시초평도서관,1291,68781,37.1412575,127.0491798,19542,22618,7351,9147,11370,14790,17425,13061,7782,2929,1137,108,12,1,0,0,0,1
653,오산시 중앙도서관,6421,276622,37.1538724,127.0768715,46707,51386,15852,18356,23896,30740,35482,30091,20853,8557,3253,184,13,3,1,1,1,6
654,오산시 청학도서관,1715,49707,37.155045,127.0639416,44879,50044,15647,18088,25815,34658,37334,29846,20400,8299,3124,187,11,2,1,1,1,5
655,오산시 꿈두레도서관,5317,259004,37.1816538,127.0454079,31982,31839,10810,13658,11994,16807,22585,15901,11087,4449,1670,46,12,1,1,0,0,2
656,오산시립 햇살마루 도서관,999,62814,37.1385164,127.0717509,44590,47583,15551,20559,23845,27894,35580,29862,17810,7100,2383,118,29,3,0,0,1,4
657,남사도서관,3382,176840,37.1536619,127.1706113,9185,8987,4177,3353,2231,5455,6621,4429,4239,2264,742,21,8,1,0,0,0,1
658,보라도서관,4323,281601,37.2483682,127.1090539,29185,27954,9271,12257,13829,15531,21318,19767,13405,7139,2768,58,14,1,1,0,0,2
659,상현도서관,6813,621307,37.2997869,127.0742324,75463,69891,24792,32097,26296,34350,51568,41373,24394,14457,5203,200,19,1,0,0,0,1
660,서농도서관,2887,355904,37.2375781,127.0688748,79895,82961,25293,32137,44253,47369,51374,45506,24334,6671,2085,157,24,3,1,0,0,4
661,성복도서관,2592,360300,37.3169491,127.0631635,62984,58692,22523,31834,22590,25988,48648,40757,24945,17295,6166,184,18,1,0,0,0,1
662,용인중앙도서관,4461,375675,37.2334148,127.1902732,30781,31092,9729,10954,20569,18827,20677,19256,13934,6320,2263,208,14,1,1,2,1,5
